			Temp	Pulses	ElapsedIn	ElapsedOut	LpH		In	Out	Total	
Temp	0		0	1	529	60000	35,44		35,82	0,32	35,50	
Pulses	1		0	1	529	1010	24,49		35,82	18,76	17,06	26,28
ElapsedIn	529		0	2	1357	1010	13,56		13,96	18,76	-4,80	15,92
ElapsedOut	60000		0	2	1357	1460	9,8		13,96	12,98	0,99	
LpH	35,44		0	3	1218	1460	7,87		15,56	12,98	2,58	
Temp	0		0	3	1218	1482	6,62		15,56	12,79	2,77	
Pulses	1		0	4	1059	1482	6,06		17,89	12,79	5,11	
ElapsedIn	529		0	4	1059	1482	6,06		17,89	12,79	5,11	
ElapsedOut	1010		0	5	1061	1482	5,64		17,86	12,79	5,07	
LpH	24,49		0	5	1061	1483	5,31		17,86	12,78	5,08	
Temp	0		0	6	665	1483	6,11		28,49	12,78	15,72	
Pulses	2		0	7	652	1483	3,96		29,06	12,78	16,28	
ElapsedIn	1357		0	7	652	1470	3,98		29,06	12,89	16,17	
ElapsedOut	1010		0	8	647	1470	6,21		29,29	12,89	16,40	
LpH	13,56		0	9	811	1470	7,16		23,36	12,89	10,47	
Temp	0		0	9	811	1466	7,95		23,36	12,92	10,44	
Pulses	2		0	10	691	1466	9,12		27,42	12,92	14,50	
ElapsedIn	1357		0	10	691	1466	9,12		27,42	12,92	14,50	
ElapsedOut	1460		0	11	1048	1466	9,12		18,08	12,92	5,16	
LpH	9,8		0	11	1048	1471	9,13		18,08	12,88	5,20	
Temp	0		0	11	1048	1471	9,13		18,08	12,88	5,20	
Pulses	3		0	11	1048	1475	9,14		18,08	12,85	5,23	
ElapsedIn	1218		0	12	1900	1475	7,28		9,97	12,85	-2,87	
ElapsedOut	1460		0	12	1900	1475	7,28		9,97	12,85	-2,87	
LpH	7,87		0	13	1072	1475	6,14		17,67	12,85	4,83	
Temp	0		0	13	1072	1484	5,01		17,67	12,77	4,91	
Pulses	3		0	14	848	1484	4,33		22,34	12,77	9,58	
ElapsedIn	1218		0	14	848	1474	4,23		22,34	12,85	9,49	
ElapsedOut	1482		0	15	840	1474	4,16		22,56	12,85	9,70	
LpH	6,62		0	16	359	1474	6,71		52,78	12,85	39,92	
Temp	0		0	17	295	1474	11,33		64,23	12,85	51,37	
Pulses	4		0	17	295	1464	15,94		64,23	12,94	51,29	
ElapsedIn	1059		0	18	842	1464	16,37		22,50	12,94	9,56	
ElapsedOut	1482		0	19	842	1464	17,61		22,50	12,94	9,56	
LpH	6,06		0	19	842	1462	18,08		22,50	12,96	9,54	
Temp	0		0	20	858	1462	18,5		22,08	12,96	9,12	
Pulses	4		0	21	868	1462	18,42		21,83	12,96	8,87	
ElapsedIn	1059		0	22	184	1462	26,47		102,98	12,96	90,02	
ElapsedOut	1482		0	22	184	1473	34,51		102,98	12,86	90,11	
LpH	6,06		0	23	352	1473	34,62		53,83	12,86	40,96	
Temp	0		0	24	511	1473	31,9		37,08	12,86	24,22	
Pulses	5		0	24	511	1458	29,18		37,08	13,00	24,08	
ElapsedIn	1061		0	25	868	1458	29,11		21,83	13,00	8,83	
ElapsedOut	1482		0	26	552	1458	30,28		34,33	13,00	21,33	
LpH	5,64		0	27	361	1458	33,28		52,49	13,00	39,49	
Temp	0		0	28	193	1458	40,88		98,17	13,00	85,18	
Pulses	5		0	28	193	1497	48,55		98,17	12,66	85,52	
ElapsedIn	1061		0	29	940	1497	40,31		20,16	12,66	7,50	
ElapsedOut	1483		0	29	940	1506	32,06		20,16	12,58	7,58	
LpH	5,31		0	30	948	1506	28,71		19,99	12,58	7,41	
Temp	0		0	31	211	1506	34,01		89,80	12,58	77,22	
Pulses	6		0	32	394	1506	35,16		48,09	12,58	35,51	
ElapsedIn	665		0	33	344	1506	38,54		55,08	12,58	42,50	
ElapsedOut	1483		0	34	203	1506	44,49		93,34	12,58	80,76	
LpH	6,11		0	34	203	1511	48,63		93,34	12,54	80,80	
Temp	0		0	35	381	1511	43,84		49,73	12,54	37,19	
Pulses	7		0	36	564	1511	37,39		33,59	12,54	21,06	
ElapsedIn	652		0	36	564	1496	38,74		33,59	12,67	20,93	
ElapsedOut	1483		0	37	921	1496	38,77		20,57	12,67	7,91	
LpH	3,96		0	38	882	1496	38,91		21,48	12,67	8,82	
Temp	0		0	38	882	1455	32,02		21,48	13,02	8,46	
Pulses	7		0	39	1046	1455	28,97		18,11	13,02	5,09	
ElapsedIn	652		0	39	1046	1444	25,21		18,11	13,12	4,99	
ElapsedOut	1470		0	40	871	1444	17,99		21,75	13,12	8,63	
LpH	3,98		0	40	871	1444	17,99		21,75	13,12	8,63	
Temp	0		0	41	1021	1444	10,44		18,56	13,12	5,44	
Pulses	8		0	41	1021	1367	7,17		18,56	13,86	4,70	
ElapsedIn	647		0	42	853	1367	5,87		22,21	13,86	8,35	
ElapsedOut	1470		0	42	853	1373	4,6		22,21	13,80	8,41	
LpH	6,21		0	43	770	1373	4,87		24,61	13,80	10,81	
Temp	0		0	44	977	1373	4,53		19,39	13,80	5,59	
Pulses	9		0	44	977	1325	4,16		19,39	14,30	5,09	
ElapsedIn	811		0	45	1133	1325	3,87		16,72	14,30	2,42	
ElapsedOut	1470		0	45	1133	1273	3,53		16,72	14,88	1,84	
LpH	7,16		0	46	882	1273	3,29		21,48	14,88	6,60	
Temp	0		0	46	882	1275	3,37		21,48	14,86	6,62	
Pulses	9		0	47	978	1275	3,34		19,37	14,86	4,51	
ElapsedIn	811		0	48	856	1275	3,21		22,13	14,86	7,27	
ElapsedOut	1466		0	48	856	1261	3,06		22,13	15,03	7,11	
LpH	7,95		0	49	853	1261	2,67		22,21	15,03	7,19	
Temp	0		0	49	853	1265	2,81		22,21	14,98	7,23	
Pulses	10		0	50	857	1265	3,01		22,11	14,98	7,13	
ElapsedIn	691		0	51	853	1265	3,47		22,21	14,98	7,23	
ElapsedOut	1466		0	51	853	1245	3,98		22,21	15,22	6,99	
LpH	9,12		0	52	866	1245	3,98		21,88	15,22	6,66	
Temp	0		0	52	866	1265	4,01		21,88	14,98	6,90	
Pulses	10		0	53	930	1265	4,1		20,37	14,98	5,40	
ElapsedIn	691		0	54	891	1265	3,99		21,27	14,98	6,29	
ElapsedOut	1466		0	54	891	1249	3,89		21,27	15,17	6,10	
LpH	9,12		0	54	891	1249	3,89		21,27	15,17	6,10	
Temp	0		0	55	1076	1249	3,41		17,61	15,17	2,44	
Pulses	11		0	55	1076	1238	2,91		17,61	15,30	2,30	
ElapsedIn	1048		0	55	1076	1238	2,91		17,61	15,30	2,30	
ElapsedOut	1466		0	56	1304	1238	2,12		14,53	15,30	-0,77	
LpH	9,12		0	56	1304	1208	1,26		14,53	15,69	-1,15	
Temp	0		0	57	998	1208	0,89		18,99	15,69	3,30	
Pulses	11		0	57	998	1208	0,54		18,99	15,69	3,30	
ElapsedIn	1048		0	57	998	1208	0,54		18,99	15,69	3,30	
ElapsedOut	1471		0	58	1392	1208	-0,37		13,61	15,69	-2,07	
LpH	9,13		0	58	1392	1213	-1,12		13,61	15,62	-2,01	
Temp	0		0	59	819	1213	-1,01		23,13	15,62	7,51	
Pulses	11		0	59	819	1211	-0,88		23,13	15,65	7,49	
ElapsedIn	1048		0	60	737	1211	-0,13		25,71	15,65	10,06	
ElapsedOut	1471		0	61	781	1211	0,5		24,26	15,65	8,61	
LpH	9,13		0	61	781	1220	1,44		24,26	15,53	8,73	
Temp	0		0	62	890	1220	2,14		21,29	15,53	5,76	
Pulses	11		0	62	890	1210	2,37		21,29	15,66	5,63	
ElapsedIn	1048		0	63	1406	1210	1,82		13,48	15,66	-2,18	
ElapsedOut	1475		0	63	1406	1217	1,82		13,48	15,57	-2,09	
LpH	9,14		0	64	878	1217	2,63		21,58	15,57	6,01	
Temp	0		0	64	878	1235	2,5		21,58	15,34	6,24	
Pulses	12		0	65	1130	1235	1,9		16,77	15,34	1,43	
ElapsedIn	1900		0	65	1130	1243	1,06		16,77	15,24	1,52	
ElapsedOut	1475		0	66	1238	1243	0,21		15,30	15,24	0,06	
LpH	7,28		0	66	1238	1303	-0,57		15,30	14,54	0,76	
Temp	0		0	67	1362	1303	-1,19		13,91	14,54	-0,63	
Pulses	12		0	68	680	1303	-0,4		27,86	14,54	13,32	
ElapsedIn	1900		0	68	680	1515	1,41		27,86	12,51	15,36	
ElapsedOut	1475		0	69	744	1515	2,98		25,47	12,51	12,96	
LpH	7,28		0	70	666	1515	4,03		28,45	12,51	15,94	
Temp	0		0	70	666	1493	5,03		28,45	12,69	15,76	
Pulses	13		0	70	666	1493	5,03		28,45	12,69	15,76	
ElapsedIn	1072		0	70	666	1514	6,53		28,45	12,51	15,93	
ElapsedOut	1475		0	71	2306	1514	6		8,22	12,51	-4,30	
LpH	6,14		0	71	2306	1514	6		8,22	12,51	-4,30	
Temp	0		0	71	2306	1509	5,61		8,22	12,56	-4,34	
Pulses	13		0	72	2099	1509	5,22		9,03	12,56	-3,53	
ElapsedIn	1072		0	72	2099	1499	4,96		9,03	12,64	-3,61	
ElapsedOut	1484		0	73	1231	1499	3,94		15,39	12,64	2,75	
LpH	5,01		0	74	673	1499	3,95		28,15	12,64	15,51	
Temp	0		0	74	673	1516	4,22		28,15	12,50	15,66	
Pulses	14		0	75	586	1516	4,61		32,33	12,50	19,84	
ElapsedIn	848		0	76	419	1516	6,31		45,22	12,50	32,72	
ElapsedOut	1484		0	77	384	1516	8,4		49,34	12,50	36,84	
LpH	4,33		0	77	384	1509	12,51		49,34	12,56	36,79	
Temp	0		0	78	476	1509	15,67		39,81	12,56	27,25	
Pulses	14		0	79	577	1509	18,05		32,84	12,56	20,28	
ElapsedIn	848		0	80	423	1509	21,63		44,79	12,56	32,24	
ElapsedOut	1474		0	80	423	1490	24,57		44,79	12,72	32,08	
LpH	4,23		0	81	632	1490	24,74		29,98	12,72	17,26	
Temp	0		0	82	636	1490	24,88		29,79	12,72	17,08	
Pulses	15		0	83	467	1490	25,67		40,57	12,72	27,86	
ElapsedIn	840		0	83	467	1490	25,18		40,57	12,72	27,86	
ElapsedOut	1474		0	84	604	1490	23,36		31,37	12,72	18,65	
LpH	4,16		0	85	624	1490	21,44		30,36	12,72	17,65	
Temp	0		0	85	624	1485	20,48		30,36	12,76	17,61	
Pulses	16		0	86	478	1485	21,13		39,64	12,76	26,88	
ElapsedIn	359		0	87	633	1485	19,62		29,93	12,76	17,17	
ElapsedOut	1474		0	87	633	1474	18,12		29,93	12,85	17,08	
LpH	6,71		0	88	798	1474	17,48		23,74	12,85	10,89	
Temp	0		0	89	667	1474	17,32		28,41	12,85	15,55	
Pulses	17		0	89	667	1467	16,08		28,41	12,92	15,49	
ElapsedIn	295		0	90	837	1467	14,27		22,64	12,92	9,72	
ElapsedOut	1474		0	91	851	1467	13,33		22,27	12,92	9,35	
LpH	11,33		0	91	851	1472	12,5		22,27	12,87	9,39	
Temp	0		0	92	836	1472	11,72		22,66	12,87	9,79	
Pulses	17		0	93	837	1472	10,01		22,64	12,87	9,77	
ElapsedIn	295		0	93	837	1471	9,26		22,64	12,88	9,76	
ElapsedOut	1464		0	94	1041	1471	8,09		18,20	12,88	5,32	
LpH	15,94		0	94	1041	1456	7,51		18,20	13,01	5,19	
Temp	0		0	95	1058	1456	6,45		17,91	13,01	4,90	
Pulses	18		0	95	1058	1456	6,45		17,91	13,01	4,90	
ElapsedIn	842		0	96	1044	1456	5,41		18,15	13,01	5,14	
ElapsedOut	1464		0	96	1044	1479	4,97		18,15	12,81	5,34	
LpH	16,37		0	97	854	1479	4,98		22,19	12,81	9,38	
Temp	0		0	97	854	1465	4,96		22,19	12,93	9,25	
Pulses	19		0	98	1032	1465	4,52		18,36	12,93	5,43	
ElapsedIn	842		0	99	855	1465	4,47		22,16	12,93	9,23	
ElapsedOut	1464		0	99	855	1473	4,42		22,16	12,86	9,30	
LpH	17,61		0	100	867	1473	4,79		21,85	12,86	8,99	
Temp	0		0	100	867	1466	5,17		21,85	12,92	8,93	
Pulses	19		0	101	1039	1466	5,21		18,24	12,92	5,31	
ElapsedIn	842		0	101	1039	1466	5,21		18,24	12,92	5,31	
ElapsedOut	1462		0	102	1050	1466	5,21		18,05	12,92	5,12	
LpH	18,08		0	102	1050	1465	5,18		18,05	12,93	5,11	
Temp	0		0	103	861	1465	5,15		22,01	12,93	9,07	
Pulses	20		0	103	861	1471	5,14		22,01	12,88	9,13	
ElapsedIn	858		0	104	1036	1471	5,14		18,29	12,88	5,41	
ElapsedOut	1462		0	105	865	1471	5,12		21,90	12,88	9,02	
LpH	18,5		0	105	865	1469	5,09		21,90	12,90	9,01	
Temp	0		0	106	1035	1469	4,73		18,31	12,90	5,41	
Pulses	21		0	106	1035	1466	4,38		18,31	12,92	5,38	
ElapsedIn	868		0	107	1046	1466	4,36		18,11	12,92	5,19	
ElapsedOut	1462		0	108	870	1466	4,74		21,78	12,92	8,85	
LpH	18,42		0	108	870	1466	5,11		21,78	12,92	8,85	
Temp	0		0	109	1047	1466	4,72		18,10	12,92	5,17	
Pulses	22		0	109	1047	1468	4,33		18,10	12,91	5,19	
ElapsedIn	184		0	110	1035	1468	4,33		18,31	12,91	5,40	
ElapsedOut	1462		0	111	883	1468	4,28		21,46	12,91	8,55	
LpH	26,47		0	111	883	1467	4,23		21,46	12,92	8,54	
Temp	0		0	112	1039	1467	4,22		18,24	12,92	5,32	
Pulses	22		0	112	1039	1461	4,21		18,24	12,97	5,27	
ElapsedIn	184		0	113	1034	1461	4,23		18,32	12,97	5,36	
ElapsedOut	1473		0	113	1034	1461	4,23		18,32	12,97	5,36	
LpH	34,51		0	114	1049	1461	3,85		18,06	12,97	5,09	
Temp	0		0	114	1049	1470	3,48		18,06	12,89	5,17	
Pulses	23		0	115	1051	1470	3,48		18,03	12,89	5,14	
ElapsedIn	352		0	115	1051	1455	3,46		18,03	13,02	5,01	
ElapsedOut	1473		0	116	1068	1455	3,39		17,74	13,02	4,72	
LpH	34,62		0	116	1068	1467	3,02		17,74	12,92	4,83	
Temp	0		0	117	1049	1467	2,68		18,06	12,92	5,15	
Pulses	24		0	117	1049	1467	2,68		18,06	12,92	5,15	
ElapsedIn	511		0	118	1047	1467	2,66		18,10	12,92	5,18	
ElapsedOut	1473		0	118	1047	1466	2,65		18,10	12,92	5,17	
LpH	31,9		0	119	1040	1466	2,65		18,22	12,92	5,29	
Temp	0		0	119	1040	1467	2,67		18,22	12,92	5,30	
Pulses	24		0	120	1055	1467	2,66		17,96	12,92	5,04	
ElapsedIn	511		0	121	887	1467	2,99		21,36	12,92	8,45	
ElapsedOut	1458		0	121	887	1468	3,33		21,36	12,91	8,45	
LpH	29,18		0	122	1030	1468	3,41		18,40	12,91	5,49	
Temp	0		0	122	1030	1463	3,47		18,40	12,95	5,44	
Pulses	25		0	123	1057	1463	3,46		17,93	12,95	4,97	
ElapsedIn	868		0	123	1057	1463	3,46		17,93	12,95	4,97	
ElapsedOut	1458		0	123	1057	1476	3,45		17,93	12,84	5,09	
LpH	29,11		0	124	1235	1476	3,18		15,34	12,84	2,51	
Temp	0		0	124	1235	1476	3,18		15,34	12,84	2,51	
Pulses	26		0	125	1048	1476	3,18		18,08	12,84	5,24	
ElapsedIn	552		0	125	1048	1455	3,15		18,08	13,02	5,06	
ElapsedOut	1458		0	126	1049	1455	3,15		18,06	13,02	5,04	
LpH	30,28		0	126	1049	1453	2,81		18,06	13,04	5,02	
Temp	0		0	127	1037	1453	2,48		18,27	13,04	5,23	
Pulses	27		0	127	1037	1453	2,48		18,27	13,04	5,23	
ElapsedIn	361		0	128	1047	1453	2,44		18,10	13,04	5,06	
ElapsedOut	1458		0	128	1047	1459	2,4		18,10	12,99	5,11	
LpH	33,28		0	129	876	1459	2,77		21,63	12,99	8,64	
Temp	0		0	129	876	1453	3,12		21,63	13,04	8,59	
Pulses	28		0	130	1028	1453	3,4		18,43	13,04	5,39	
ElapsedIn	193		0	130	1028	1453	3,4		18,43	13,04	5,39	
ElapsedOut	1458		0	131	1040	1453	3,39		18,22	13,04	5,18	
LpH	40,88		0	131	1040	1466	3,42		18,22	12,92	5,29	
Temp	0		0	132	1038	1466	3,45		18,25	12,92	5,33	
Pulses	28		0	132	1038	1453	3,46		18,25	13,04	5,21	
ElapsedIn	193		0	133	1042	1453	3,46		18,18	13,04	5,14	
ElapsedOut	1497		0	133	1042	1462	3,47		18,18	12,96	5,22	
LpH	48,55		0	134	1222	1462	3,22		15,51	12,96	2,55	
Temp	0		0	134	1222	1462	3,22		15,51	12,96	2,55	
Pulses	29		0	135	1048	1462	2,87		18,08	12,96	5,12	
ElapsedIn	940		0	135	1048	1471	2,53		18,08	12,88	5,20	
ElapsedOut	1497		0	136	872	1471	2,88		21,73	12,88	8,85	
LpH	40,31		0	136	872	1454	3,23		21,73	13,03	8,70	
Temp	0		0	137	1032	1454	3,23		18,36	13,03	5,33	
Pulses	29		0	137	1032	1454	3,23		18,36	13,03	5,33	
ElapsedIn	940		0	138	1036	1454	3,22		18,29	13,03	5,26	
ElapsedOut	1506		0	138	1036	1473	3,25		18,29	12,86	5,43	
LpH	32,06		0	139	1053	1473	3,25		17,99	12,86	5,13	
Temp	0		0	139	1053	1456	3,22		17,99	13,01	4,98	
Pulses	30		0	140	1032	1456	3,5		18,36	13,01	5,35	
ElapsedIn	948		0	140	1032	1473	3,54		18,36	12,86	5,50	
ElapsedOut	1506		0	141	1045	1473	3,55		18,13	12,86	5,27	
LpH	28,71		0	141	1045	1473	3,55		18,13	12,86	5,27	
Temp	0		0	142	1042	1473	3,2		18,18	12,86	5,32	
Pulses	31		0	142	1042	1459	2,85		18,18	12,99	5,20	
ElapsedIn	211		0	143	1050	1459	2,82		18,05	12,99	5,06	
ElapsedOut	1506		0	143	1050	1463	2,81		18,05	12,95	5,09	
LpH	34,01		0	144	1059	1463	2,76		17,89	12,95	4,94	
Temp	0		0	144	1059	1463	2,76		17,89	12,95	4,94	
Pulses	32		0	145	1047	1463	2,76		18,10	12,95	5,15	
ElapsedIn	394		0	145	1047	1477	2,79		18,10	12,83	5,27	
ElapsedOut	1506		0	146	1049	1477	2,78		18,06	12,83	5,23	
LpH	35,16		0	146	1049	1458	2,74		18,06	13,00	5,07	
Temp	0		0	147	1044	1458	2,72		18,15	13,00	5,15	
Pulses	33		0	147	1044	1477	2,72		18,15	12,83	5,32	
ElapsedIn	344		0	148	1061	1477	2,71		17,86	12,83	5,03	
ElapsedOut	1506		0	148	1061	1477	2,71		17,86	12,83	5,03	
LpH	38,54		0	149	1064	1477	2,7		17,81	12,83	4,98	
Temp	0		0	149	1064	1479	2,7		17,81	12,81	5,00	
Pulses	34		0	150	1218	1479	2,48		15,56	12,81	2,75	
ElapsedIn	203		0	150	1218	1468	2,23		15,56	12,91	2,65	
ElapsedOut	1506		0	151	875	1468	2,58		21,65	12,91	8,75	
LpH	44,49		0	151	875	1468	2,58		21,65	12,91	8,75	
Temp	0		0	152	1035	1468	2,59		18,31	12,91	5,40	
Pulses	34		0	152	1035	1478	2,64		18,31	12,82	5,49	
ElapsedIn	203		0	153	1062	1478	2,63		17,84	12,82	5,02	
ElapsedOut	1511		0	153	1062	1458	2,58		17,84	13,00	4,85	
LpH	48,63		0	154	1218	1458	2,33		15,56	13,00	2,56	
Temp	0		0	154	1218	1469	2,09		15,56	12,90	2,66	
Pulses	35		0	155	1054	1469	2,1		17,98	12,90	5,08	
ElapsedIn	381		0	156	881	1469	2,69		21,51	12,90	8,61	
ElapsedOut	1511		0	156	881	1472	3,29		21,51	12,87	8,63	
LpH	43,84		0	157	1038	1472	2,95		18,25	12,87	5,38	
Temp	0		0	157	1038	1458	2,93		18,25	13,00	5,26	
Pulses	36		0	158	1221	1458	2,63		15,52	13,00	2,52	
ElapsedIn	564		0	158	1221	1476	2,4		15,52	12,84	2,68	
ElapsedOut	1511		0	159	1049	1476	2,44		18,06	12,84	5,23	
LpH	37,39		0	159	1049	1476	2,44		18,06	12,84	5,23	
Temp	0		0	160	1051	1476	2,71		18,03	12,84	5,19	
Pulses	36		0	160	1051	1461	2,95		18,03	12,97	5,06	
ElapsedIn	564		0	161	1038	1461	2,96		18,25	12,97	5,29	
ElapsedOut	1496		0	161	1038	1471	2,64		18,25	12,88	5,37	
LpH	38,74		0	162	876	1471	2,65		21,63	12,88	8,75	
Temp	0		0	162	876	1471	2,65		21,63	12,88	8,75	
Pulses	37		0	163	1051	1471	2,63		18,03	12,88	5,15	
ElapsedIn	921		0	163	1051	1468	2,62		18,03	12,91	5,12	
ElapsedOut	1496		0	164	1052	1468	2,88		18,01	12,91	5,10	
LpH	38,77		0	164	1052	1460	3,11		18,01	12,98	5,03	
Temp	0		0	165	1043	1460	3,1		18,17	12,98	5,19	
Pulses	38		0	165	1043	1460	3,1		18,17	12,98	5,19	
ElapsedIn	882		0	166	1094	1460	3,02		17,32	12,98	4,34	
ElapsedOut	1496		0	166	1094	1477	2,96		17,32	12,83	4,49	
LpH	38,91		0	167	1035	1477	2,98		18,31	12,83	5,48	
Temp	0		0	167	1035	1457	2,97		18,31	13,00	5,30	
Pulses	38		0	168	1011	1457	2,67		18,74	13,00	5,74	
ElapsedIn	882		0	168	1011	1491	2,76		18,74	12,71	6,03	
ElapsedOut	1455		0	169	1235	1491	2,52		15,34	12,71	2,63	
LpH	32,02		0	169	1235	1491	2,52		15,34	12,71	2,63	
Temp	0		0	170	1068	1491	2,51		17,74	12,71	5,03	
Pulses	39		0	170	1068	1492	2,52		17,74	12,70	5,04	
ElapsedIn	1046		0	171	1050	1492	2,54		18,05	12,70	5,35	
ElapsedOut	1455		0	171	1050	1480	2,63		18,05	12,80	5,24	
LpH	28,97		0	172	1056	1480	2,7		17,94	12,80	5,14	
Temp	0		0	172	1056	1480	2,7		17,94	12,80	5,14	
Pulses	39		0	172	1056	1501	2,69		17,94	12,62	5,32	
ElapsedIn	1046		0	173	1066	1501	2,68		17,77	12,62	5,15	
ElapsedOut	1444		0	173	1066	1501	2,68		17,77	12,62	5,15	
LpH	25,21		0	174	1037	1501	2,68		18,27	12,62	5,65	
Temp	0		0	174	1037	1471	2,61		18,27	12,88	5,39	
Pulses	40		0	175	1060	1471	2,84		17,88	12,88	4,99	
ElapsedIn	871		0	175	1060	1488	2,85		17,88	12,73	5,14	
ElapsedOut	1444		0	176	1050	1488	2,88		18,05	12,73	5,31	
LpH	17,99		0	176	1050	1488	2,88		18,05	12,73	5,31	
Temp	0		0	177	1023	1488	2,92		18,52	12,73	5,79	
Pulses	40		0	177	1023	1471	2,96		18,52	12,88	5,64	
ElapsedIn	871		0	178	1036	1471	2,99		18,29	12,88	5,41	
ElapsedOut	1444		0	178	1036	1472	2,99		18,29	12,87	5,42	
LpH	17,99		0	179	909	1472	3,27		20,84	12,87	7,97	
Temp	0		0	180	993	1472	3,32		19,08	12,87	6,21	
Pulses	41		0	180	993	1472	3,4		19,08	12,87	6,21	
ElapsedIn	1021		0	181	1044	1472	3,43		18,15	12,87	5,28	
ElapsedOut	1444		0	181	1044	1461	3,43		18,15	12,97	5,18	
LpH	10,44		0	182	1058	1461	3,39		17,91	12,97	4,94	
Temp	0		0	182	1058	1461	3,39		17,91	12,97	4,94	
Pulses	41		0	182	1058	1476	3,32		17,91	12,84	5,07	
ElapsedIn	1021		0	183	1088	1476	3,21		17,42	12,84	4,58	
ElapsedOut	1367		0	184	995	1476	3,29		19,04	12,84	6,21	
LpH	7,17		0	184	995	1460	3,35		19,04	12,98	6,06	
Temp	0		0	185	1136	1460	2,92		16,68	12,98	3,70	
Pulses	42		0	185	1136	1464	2,68		16,68	12,94	3,74	
ElapsedIn	853		0	186	1392	1464	2,12		13,61	12,94	0,67	
ElapsedOut	1367		0	186	1392	1480	1,68		13,61	12,80	0,81	
LpH	5,87		0	187	1126	1480	1,56		16,83	12,80	4,02	
Temp	0		0	187	1126	1480	1,56		16,83	12,80	4,02	
Pulses	42		0	188	1160	1480	1,43		16,33	12,80	3,53	
ElapsedIn	853		0	188	1160	1486	1,28		16,33	12,75	3,58	
ElapsedOut	1373		0	188	1160	1486	1,28		16,33	12,75	3,58	
LpH	4,6		0	189	1251	1486	1,06		15,15	12,75	2,40	
Temp	0		0	189	1251	1470	0,67		15,15	12,89	2,26	
Pulses	43		0	190	906	1470	0,86		20,91	12,89	8,02	
ElapsedIn	770		0	190	906	1490	1,32		20,91	12,72	8,20	
ElapsedOut	1373		0	191	1614	1490	0,85		11,74	12,72	-0,98	
LpH	4,87		0	191	1614	1490	0,69		11,74	12,72	-0,98	
Temp	0		0	192	1471	1490	0,63		12,88	12,72	0,16	
Pulses	44		0	192	1471	1482	0,23		12,88	12,79	0,10	
ElapsedIn	977		0	193	1240	1482	0,13		15,28	12,79	2,50	
ElapsedOut	1373		0	194	706	1482	1,18		26,84	12,79	14,05	
LpH	4,53		0	194	706	1501	2,36		26,84	12,62	14,21	
Temp	0		0	195	721	1501	3,51		26,28	12,62	13,66	
Pulses	44		0	196	541	1501	4,95		35,02	12,62	22,40	
ElapsedIn	977		0	196	541	1488	6,36		35,02	12,73	22,29	
ElapsedOut	1325		0	197	536	1488	8,72		35,35	12,73	22,62	
LpH	4,16		0	198	671	1488	10,36		28,24	12,73	15,50	
Temp	0		0	199	669	1488	11,91		28,32	12,73	15,59	
Pulses	45		0	199	669	1482	13,45		28,32	12,79	15,54	
ElapsedIn	1133		0	200	822	1482	14,23		23,05	12,79	10,27	
ElapsedOut	1325		0	200	822	1473	13,84		23,05	12,86	10,19	
LpH	3,87		0	200	822	1473	13,84		23,05	12,86	10,19	
Temp	0		0	201	1861	1473	12,15		10,18	12,86	-2,68	
Pulses	45		0	201	1861	1482	10,52		10,18	12,79	-2,60	
ElapsedIn	1133		0	201	1861	1482	10,52		10,18	12,79	-2,60	
ElapsedOut	1273		0	202	1468	1482	8,29		12,91	12,79	0,12	
LpH	3,53		0	202	1468	1478	6,06		12,91	12,82	0,09	
Temp	0		0	203	874	1478	4,69		21,68	12,82	8,86	
Pulses	46		0	204	794	1478	4,24		23,86	12,82	11,04	
ElapsedIn	882		0	204	794	1482	3,79		23,86	12,79	11,08	
ElapsedOut	1273		0	205	668	1482	3,79		28,36	12,79	15,58	
LpH	3,29		0	206	765	1482	3,96		24,77	12,79	11,98	
Temp	0		0	206	765	1479	4,14		24,77	12,81	11,96	
Pulses	46		0	207	808	1479	5,47		23,45	12,81	10,64	
ElapsedIn	882		0	208	834	1479	6,72		22,72	12,81	9,91	
ElapsedOut	1275		0	208	834	1480	7,7		22,72	12,80	9,92	
LpH	3,37		0	209	735	1480	8,99		25,78	12,80	12,98	
Temp	0		0	209	735	1494	9,42		25,78	12,68	13,10	
Pulses	47		0	210	1004	1494	8,94		18,87	12,68	6,19	
ElapsedIn	978		0	210	1004	1494	8,94		18,87	12,68	6,19	
ElapsedOut	1275		0	211	1078	1494	8,32		17,58	12,68	4,89	
LpH	3,34		0	211	1078	1472	7,23		17,58	12,87	4,70	
Temp	0		0	212	1196	1472	6,33		15,84	12,87	2,97	
Pulses	48		0	212	1196	1470	5,43		15,84	12,89	2,95	
ElapsedIn	856		0	213	890	1470	5,2		21,29	12,89	8,40	
ElapsedOut	1275		0	214	886	1470	5,06		21,39	12,89	8,50	
LpH	3,21		0	214	886	1481	4,93		21,39	12,79	8,59	
Temp	0		0	215	1008	1481	4,23		18,80	12,79	6,00	
Pulses	48		0	215	1008	1470	3,51		18,80	12,89	5,91	
ElapsedIn	856		0	216	1047	1470	3,4		18,10	12,89	5,21	
ElapsedOut	1261		0	216	1047	1470	3,4		18,10	12,89	5,21	
LpH	3,06		0	217	1026	1470	3,47		18,47	12,89	5,58	
Temp	0		0	217	1026	1490	3,58		18,47	12,72	5,75	
Pulses	49		0	218	877	1490	4,17		21,60	12,72	8,89	
